exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,NKO,2/8/10,13.53,13.53,13.4,13.5,4500,13.5
AMEX,NKO,2/5/10,13.52,13.52,13.45,13.45,7500,13.45
AMEX,NKO,2/4/10,13.44,13.55,13.32,13.55,15800,13.55
AMEX,NKO,2/3/10,13.31,13.43,13.31,13.43,4600,13.43
AMEX,NKO,2/2/10,13.48,13.48,13.31,13.38,5200,13.38
AMEX,NZZ,2/1/10,13.39,13.45,13.39,13.44,5800,13.44
AMEX,NZZ,1/29/10,13.3,13.38,13.3,13.35,2900,13.35
AMEX,NZZ,1/28/10,13.38,13.38,13.3,13.38,6300,13.38
AMEX,NZZ,1/27/10,13.39,13.39,13.29,13.3,4800,13.3
AMEX,NAA,1/26/10,13.37,13.37,13.32,13.32,5400,13.32
