exchange,stock_symbol,date,dividends
AMEX,NII,2010-01-13,0.066
AMEX,NII,2009-12-11,0.066
AMEX,NII,2009-11-10,0.062
AMEX,NII,2009-10-13,0.062
AMEX,NII,2009-09-11,0.062
AMEX,NII,2009-08-12,0.057
AMEX,NII,2009-07-13,0.057
AMEX,NII,2009-06-11,0.057
AMEX,NII,2009-05-13,0.057
AMEX,NII,2009-04-13,0.056
AMEX,NII,2009-03-11,0.056
AMEX,NII,2009-02-11,0.056
AMEX,NII,2009-01-13,0.056
AMEX,NII,2008-12-11,0.056
AMEX,NII,2008-11-12,0.056
AMEX,NII,2008-10-10,0.056
AMEX,NII,2008-09-11,0.056
AMEX,NII,2008-08-13,0.055
AMEX,NII,2008-07-11,0.055
AMEX,NII,2008-06-11,0.055
AMEX,NII,2008-05-13,0.055
AMEX,NII,2008-04-11,0.055
AMEX,NII,2008-03-12,0.055
AMEX,NII,2008-02-13,0.055
AMEX,NII,2008-01-11,0.055
AMEX,NII,2007-12-12,0.055
AMEX,NII,2007-11-13,0.055
AMEX,NII,2007-10-11,0.055
AMEX,NII,2007-09-12,0.055
AMEX,NII,2007-08-13,0.055
AMEX,NII,2007-07-11,0.055
AMEX,NII,2007-06-13,0.055
AMEX,NII,2007-05-11,0.055
AMEX,NII,2007-04-11,0.055
AMEX,NII,2007-03-13,0.055
AMEX,NII,2007-02-13,0.055
AMEX,NII,2007-01-10,0.055
AMEX,NII,2006-12-13,0.055
AMEX,NII,2006-11-13,0.055
AMEX,NII,2006-10-11,0.055
AMEX,NII,2006-09-13,0.055
AMEX,NII,2006-08-11,0.055
AMEX,NII,2006-07-12,0.055
AMEX,NII,2006-06-13,0.055
AMEX,NII,2006-05-11,0.058
AMEX,NII,2006-04-11,0.058
AMEX,NII,2006-03-13,0.058
AMEX,NII,2006-02-13,0.061
AMEX,NII,2006-01-11,0.061
AMEX,NII,2005-12-13,0.061
AMEX,NII,2005-11-10,0.061
AMEX,NII,2005-10-12,0.061
AMEX,NII,2005-09-13,0.061
AMEX,NII,2005-08-11,0.061
AMEX,NII,2005-07-13,0.061
AMEX,NII,2005-06-13,0.061
AMEX,NII,2005-05-11,0.064
AMEX,NII,2005-04-13,0.064
AMEX,NII,2005-03-11,0.064
AMEX,NII,2005-02-11,0.067
AMEX,NII,2005-01-12,0.067
AMEX,NII,2004-12-13,0.067
AMEX,NII,2004-11-10,0.067
AMEX,NII,2004-10-13,0.067
AMEX,NII,2004-09-13,0.067
AMEX,NII,2004-08-11,0.067
AMEX,NII,2004-07-13,0.067
AMEX,NII,2004-06-14,0.067
AMEX,NII,2004-05-12,0.067
AMEX,NII,2004-04-13,0.067
AMEX,NII,2004-03-11,0.067
AMEX,NII,2004-02-11,0.067
AMEX,NII,2004-01-13,0.067
AMEX,NII,2003-12-11,0.074
AMEX,NII,2003-11-12,0.067
AMEX,NII,2003-10-10,0.067
AMEX,NII,2003-09-11,0.067
AMEX,NII,2003-08-13,0.067
AMEX,NII,2003-07-11,0.067
AMEX,NII,2003-06-11,0.067
AMEX,NII,2003-05-13,0.067
AMEX,NII,2003-04-11,0.067
AMEX,NII,2003-03-12,0.067
AMEX,NII,2003-02-12,0.067
AMEX,NII,2003-01-13,0.067
AMEX,NII,2002-12-11,0.067
AMEX,NII,2002-11-13,0.067
AMEX,NFC,2010-01-13,0.064
AMEX,NFC,2009-12-11,0.064
AMEX,NFC,2009-11-10,0.06
AMEX,NFC,2009-10-13,0.06
AMEX,NFC,2009-09-11,0.06
AMEX,NFC,2009-08-12,0.057
AMEX,NFC,2009-07-13,0.057
AMEX,NFC,2009-06-11,0.057
AMEX,NFC,2009-05-13,0.057
AMEX,NFC,2009-04-13,0.056
AMEX,NFC,2009-03-11,0.056
AMEX,NFC,2009-02-11,0.056
AMEX,NFC,2009-01-13,0.056
AMEX,NFC,2008-12-11,0.161
AMEX,NFC,2008-11-12,0.056
AMEX,NFC,2008-10-10,0.056
AMEX,NFC,2008-09-11,0.056
AMEX,NFC,2008-08-13,0.056
AMEX,NFC,2008-07-11,0.056
AMEX,NFC,2008-06-11,0.056
AMEX,NFC,2008-05-13,0.056
AMEX,NFC,2008-04-11,0.056
AMEX,NFC,2008-03-12,0.056
AMEX,NFC,2008-02-13,0.056
AMEX,NFC,2008-01-11,0.056
AMEX,NFC,2007-12-12,0.122
AMEX,NFC,2007-11-13,0.056
AMEX,NFC,2007-10-11,0.056
AMEX,NFC,2007-09-12,0.056
AMEX,NFC,2007-08-13,0.056
AMEX,NFC,2007-07-11,0.056
AMEX,NFC,2007-06-13,0.056
AMEX,NFC,2007-05-11,0.058
AMEX,NFC,2007-04-11,0.058
AMEX,NFC,2007-03-13,0.058
AMEX,NFC,2007-02-13,0.061
AMEX,NFC,2007-01-10,0.061
AMEX,NFC,2006-12-13,0.061
AMEX,NFC,2006-11-13,0.061
AMEX,NFC,2006-10-11,0.061
AMEX,NFC,2006-09-13,0.061
AMEX,NFC,2006-08-11,0.064
AMEX,NFC,2006-07-12,0.064
AMEX,NFC,2006-06-13,0.064
AMEX,NFC,2006-05-11,0.068
AMEX,NFC,2006-04-11,0.068
AMEX,NFC,2006-03-13,0.068
AMEX,NFC,2006-02-13,0.072
AMEX,NFC,2006-01-11,0.072
AMEX,NFC,2005-12-13,0.072
AMEX,NFC,2005-11-10,0.072
AMEX,NFC,2005-10-12,0.072
AMEX,NFC,2005-09-13,0.072
AMEX,NFC,2005-08-11,0.072
AMEX,NFC,2005-07-13,0.072
AMEX,NFC,2005-06-13,0.072
AMEX,NFC,2005-05-11,0.072
AMEX,NFC,2005-04-13,0.072
AMEX,NFC,2005-03-11,0.072
AMEX,NFC,2005-02-11,0.075
AMEX,NFC,2005-01-12,0.075
AMEX,NFC,2004-12-13,0.075
AMEX,NFC,2004-11-10,0.075
AMEX,NFC,2004-10-13,0.075
AMEX,NFC,2004-09-13,0.075
AMEX,NFC,2004-08-11,0.075
AMEX,NFC,2004-07-13,0.075
AMEX,NFC,2004-06-14,0.075
AMEX,NFC,2004-05-12,0.075
AMEX,NFC,2004-04-13,0.075
AMEX,NFC,2004-03-11,0.075
AMEX,NFC,2004-02-11,0.075
AMEX,NFC,2004-01-13,0.075
AMEX,NFC,2003-12-11,0.075
AMEX,NFC,2003-11-12,0.075
AMEX,NFC,2003-10-10,0.075
AMEX,NFC,2003-09-11,0.074
AMEX,NFC,2003-08-13,0.071
AMEX,NFC,2003-07-11,0.071
AMEX,NFC,2003-06-11,0.071
AMEX,NFC,2003-05-13,0.07
AMEX,NFC,2003-04-11,0.07
AMEX,NFC,2003-03-12,0.07
AMEX,NFC,2003-02-12,0.07
AMEX,NFC,2003-01-13,0.07
AMEX,NFC,2002-12-11,0.07
AMEX,NFC,2002-11-13,0.07
AMEX,NFC,2002-10-10,0.07
AMEX,NFC,2002-09-11,0.07
AMEX,NFC,2002-08-13,0.07
AMEX,NFC,2002-07-11,0.07
AMEX,NFC,2002-06-12,0.07
AMEX,NFC,2002-05-13,0.07
AMEX,NFC,2002-04-11,0.07
AMEX,NFC,2002-03-13,0.07
AMEX,NFC,2002-02-13,0.07
AMEX,NFC,2002-01-11,0.07
AMEX,NFC,2001-12-12,0.07
AMEX,NFC,2001-11-13,0.07
AMEX,NFC,2001-10-11,0.07
AMEX,NFC,2001-08-13,0.07
AMEX,NFC,2001-07-11,0.07
AMEX,NFC,2001-06-13,0.07
AMEX,NFC,2001-05-11,0.07
AMEX,NFC,2001-04-10,0.07
AMEX,NFC,2001-03-21,0.07
AMEX,NVX,2010-01-13,0.079
AMEX,NVX,2009-12-11,0.079
AMEX,NVX,2009-11-10,0.076
AMEX,NVX,2009-10-13,0.076
AMEX,NVX,2009-09-11,0.076
AMEX,NVX,2009-08-12,0.07
AMEX,NVX,2009-07-13,0.07
AMEX,NVX,2009-06-11,0.07
AMEX,NVX,2009-05-13,0.07
AMEX,NVX,2009-04-13,0.066
AMEX,NVX,2009-03-11,0.066
AMEX,NVX,2009-02-11,0.061
AMEX,NVX,2009-01-13,0.061
AMEX,NVX,2008-12-11,0.096
AMEX,NVX,2008-11-12,0.061
AMEX,NVX,2008-10-10,0.061
AMEX,NVX,2008-09-11,0.061
AMEX,NVX,2008-08-13,0.058
AMEX,NVX,2008-07-11,0.058
AMEX,NVX,2008-06-11,0.058
AMEX,NVX,2008-05-13,0.058
AMEX,NVX,2008-04-11,0.058
AMEX,NVX,2008-03-12,0.058
AMEX,NVX,2008-02-13,0.058
AMEX,NVX,2008-01-11,0.058
AMEX,NVX,2007-12-12,0.058
AMEX,NVX,2007-11-13,0.058
AMEX,NVX,2007-10-11,0.058
AMEX,NVX,2007-09-12,0.06
AMEX,NVX,2007-08-13,0.06
AMEX,NVX,2007-07-11,0.06
AMEX,NVX,2007-06-13,0.06
AMEX,NVX,2007-05-11,0.063
AMEX,NVX,2007-04-11,0.063
AMEX,NVX,2007-03-13,0.063
AMEX,NVX,2007-02-13,0.066
AMEX,NVX,2007-01-10,0.066
AMEX,NVX,2006-12-13,0.066
AMEX,NVX,2006-11-13,0.066
AMEX,NVX,2006-10-11,0.066
AMEX,NVX,2006-09-13,0.066
AMEX,NVX,2006-08-11,0.066
AMEX,NVX,2006-07-12,0.066
AMEX,NVX,2006-06-13,0.066
AMEX,NVX,2006-05-11,0.069
AMEX,NVX,2006-04-11,0.069
AMEX,NVX,2006-03-13,0.069
AMEX,NVX,2006-02-13,0.073
AMEX,NVX,2006-01-11,0.073
AMEX,NVX,2005-12-13,0.073
AMEX,NVX,2005-11-10,0.073
AMEX,NVX,2005-10-12,0.073
AMEX,NVX,2005-09-13,0.073
AMEX,NVX,2005-08-11,0.076
AMEX,NVX,2005-07-13,0.076
AMEX,NVX,2005-06-13,0.076
AMEX,NVX,2005-05-11,0.076
AMEX,NVX,2005-04-13,0.076
AMEX,NVX,2005-03-11,0.076
AMEX,NVX,2005-02-11,0.076
AMEX,NVX,2005-01-12,0.076
AMEX,NVX,2004-12-13,0.076
AMEX,NVX,2004-11-10,0.076
AMEX,NVX,2004-10-13,0.076
AMEX,NVX,2004-09-13,0.076
AMEX,NVX,2004-08-11,0.076
AMEX,NVX,2004-07-13,0.076
AMEX,NVX,2004-06-14,0.076
AMEX,NVX,2004-05-12,0.076
AMEX,NVX,2004-04-13,0.076
AMEX,NVX,2004-03-11,0.076
AMEX,NVX,2004-02-11,0.076
AMEX,NVX,2004-01-13,0.076
AMEX,NVX,2003-12-11,0.076
AMEX,NVX,2003-11-12,0.076
AMEX,NVX,2003-10-10,0.076
AMEX,NVX,2003-09-11,0.076
AMEX,NVX,2003-08-13,0.075
AMEX,NVX,2003-07-11,0.075
AMEX,NVX,2003-06-11,0.075
AMEX,NVX,2003-05-13,0.073
AMEX,NVX,2003-04-11,0.074
AMEX,NVX,2003-03-12,0.074
AMEX,NVX,2003-02-12,0.074
AMEX,NVX,2003-01-13,0.074
AMEX,NVX,2002-12-11,0.103
AMEX,NVX,2002-11-13,0.074
AMEX,NVX,2002-10-10,0.074
AMEX,NNO,2010-01-13,0.068
AMEX,NNO,2009-12-11,0.07
AMEX,NNO,2009-11-10,0.064
AMEX,NNO,2009-10-13,0.064
AMEX,NNO,2009-09-11,0.064
AMEX,NNO,2009-08-12,0.059
AMEX,NNO,2009-07-13,0.059
AMEX,NNO,2009-06-11,0.059
AMEX,NNO,2009-05-13,0.059
AMEX,NNO,2009-04-13,0.057
AMEX,NNO,2009-03-11,0.057
AMEX,NNO,2009-02-11,0.054
AMEX,NNO,2009-01-13,0.054
AMEX,NNO,2008-12-11,0.054
AMEX,NNO,2008-11-12,0.054
AMEX,NNO,2008-10-10,0.054
AMEX,NNO,2008-09-11,0.054
AMEX,NNO,2008-08-13,0.052
AMEX,NNO,2008-07-11,0.052
AMEX,NNO,2008-06-11,0.052
AMEX,NNO,2008-05-13,0.052
AMEX,NNO,2008-04-11,0.052
AMEX,NNO,2008-03-12,0.052
AMEX,NNO,2008-02-13,0.052
AMEX,NNO,2008-01-11,0.052
AMEX,NNO,2007-12-12,0.115
AMEX,NNO,2007-11-13,0.052
AMEX,NNO,2007-10-11,0.052
AMEX,NNO,2007-09-12,0.055
AMEX,NNO,2007-08-13,0.055
AMEX,NNO,2007-07-11,0.055
AMEX,NNO,2007-06-13,0.055
AMEX,NNO,2007-05-11,0.058
AMEX,NNO,2007-04-11,0.058
AMEX,NNO,2007-03-13,0.058
AMEX,NNO,2007-02-13,0.058
AMEX,NNO,2007-01-10,0.058
AMEX,NNO,2006-12-13,0.107
AMEX,NNO,2006-11-13,0.058
AMEX,NNO,2006-10-11,0.058
AMEX,NNO,2006-09-13,0.058
AMEX,NNO,2006-08-11,0.062
AMEX,NNO,2006-07-12,0.062
AMEX,NNO,2006-06-13,0.062
AMEX,NNO,2006-05-11,0.065
AMEX,NNO,2006-04-11,0.065
AMEX,NNO,2006-03-13,0.065
AMEX,NNO,2006-02-13,0.069
AMEX,NNO,2006-01-11,0.069
AMEX,NNO,2005-12-13,0.192
AMEX,NNO,2005-11-10,0.069
AMEX,NNO,2005-10-12,0.069
AMEX,NNO,2005-09-13,0.069
AMEX,NNO,2005-08-11,0.072
AMEX,NNO,2005-07-13,0.072
AMEX,NNO,2005-06-13,0.072
AMEX,NNO,2005-05-11,0.072
AMEX,NNO,2005-04-13,0.072
AMEX,NNO,2005-03-11,0.072
AMEX,NNO,2005-02-11,0.072
AMEX,NNO,2005-01-12,0.072
AMEX,NNO,2004-12-13,0.142
AMEX,NNO,2004-11-10,0.072
AMEX,NNO,2004-10-13,0.072
AMEX,NNO,2004-09-13,0.072
AMEX,NNO,2004-08-11,0.072
AMEX,NNO,2004-07-13,0.072
AMEX,NNO,2004-06-14,0.072
AMEX,NNO,2004-05-12,0.072
AMEX,NNO,2004-04-13,0.072
AMEX,NNO,2004-03-11,0.072
AMEX,NNO,2004-02-11,0.072
AMEX,NNO,2004-01-13,0.072
AMEX,NNO,2003-12-11,0.101
AMEX,NNO,2003-11-12,0.071
AMEX,NNO,2003-10-10,0.071
AMEX,NNO,2003-09-11,0.071
AMEX,NNO,2003-08-13,0.069
AMEX,NNO,2003-07-11,0.069
AMEX,NNO,2003-06-11,0.069
AMEX,NNO,2003-05-13,0.068
AMEX,NNO,2003-04-11,0.068
AMEX,NNO,2003-03-12,0.069
AMEX,NNO,2003-02-12,0.069
AMEX,NNO,2003-01-13,0.069
AMEX,NNO,2002-12-11,0.198
AMEX,NNO,2002-11-13,0.069
